,idPhoronix,nb_models,ls_architecture,ls_cpuop-mode,ls_cpu,ls_threadpercore,ls_corepersocket,ls_socket,ls_numanode,ls_vendorid,ls_cpufamily,ls_model,ls_modelname,ls_stepping,ls_cpumhz,ls_cpumaxmhz,ls_cpuminmhz,ls_bogomips,ls_l1dcache,ls_l1icache,ls_l2cache,ls_l3cache,cp_vendor_id,cp_cpufamily,cp_model,cp_modelname,cp_stepping,cp_cpumhz,cp_cachesize,cp_physicalid,cp_siblings,cp_cpucores,cp_apicid,cp_cpuidlevel,cp_bogomips,cp_clflushsize,cp_cache_alignment,cp_addresssizes,price_dollar,cp_modelname.1,ls_range,ls_modelname.1,id,Model name,Process,TDP,Release Year
1174.0,IntelCore2DuoT7300,1,x86_64,32.64,2.0,1.0,2.0,1.0,1.0,GenuineIntel,6.0,15.0,,10.0,2001.0,2001.0,2001.0,3989.95,32.0,32.0,4096.0,,GenuineIntel,6.0,15.0,Intel(R)Core(TM)2DuoCPUT7300@2.00GHz,10.0,800.0,4096.0,0.0,2.0,2.0,0.0,10.0,3989.95,64.0,64.0,36.48,54.0,Intel  Core2Duo CPU T7300@2.00GHz,Intel Core,,Intel Core2DuoT7300,Intel Core 2 Duo T7300,65.0,35.0,2006.0
1176.0,IntelCore2DuoT7500,1,x86_64,32.64,2.0,1.0,1.0,,1.0,GenuineIntel,6.0,15.0,,10.0,2194.596,2194.597,2194.598,4389.19,32.0,32.0,4096.0,,GenuineIntel,6.0,15.0,Intel(R)Core(TM)2DuoCPUT7500@2.20GHz,10.0,2194.596,4096.0,,,,,10.0,4389.19,64.0,64.0,36.48,43.0,Intel  Core2Duo CPU T7500@2.20GHz,Intel Core,,Intel Core2DuoT7500,Intel Core 2 Duo T7500,65.0,35.0,2007.0
1179.0,IntelCore2DuoT7700,1,x86_64,32.64,2.0,1.0,1.0,2.0,1.0,GenuineIntel,6.0,15.0,,11.0,2599.998,2599.999,2599.1,5199.99,32.0,32.0,4096.0,,GenuineIntel,6.0,15.0,Intel(R)Core(TM)2DuoCPUT7700@2.40GHz,11.0,2599.998,4096.0,,,,,10.0,5199.99,64.0,64.0,40.48,130.0,Intel  Core2Duo CPU T7700@2.40GHz,Intel Core,,Intel Core2DuoT7700,Intel Core 2 Duo T7700,65.0,35.0,2007.0
1197.0,IntelCore2Quad,1,x86_64,32.64,4.0,1.0,4.0,1.0,1.0,GenuineIntel,6.0,15.0,,7.0,2933.618,2933.619,2933.62,5866.75,32.0,32.0,4096.0,,GenuineIntel,6.0,15.0,Intel(R)Core(TM)2QuadCPU@2.93GHz,7.0,2933.618,4096.0,0.0,4.0,4.0,0.0,10.0,5867.23,64.0,64.0,36.48,125.0,Intel  Core2Quad CPU @2.93GHz,Intel Core,,Intel Core2Quad,Intel Core 2 Quad Q6600 (105W),65.0,105.0,2007.0
1198.0,IntelCore2QuadQ6600,1,x86_64,32.64,4.0,1.0,4.0,,,GenuineIntel,6.0,15.0,,11.0,1596.0,1596.0,1596.0,,32.0,32.0,4096.0,,GenuineIntel,6.0,15.0,Intel(R)Core(TM)2QuadCPUQ6600@2.40GHz,11.0,1603.0,4096.0,0.0,4.0,4.0,0.0,10.0,4801.46,64.0,64.0,36.48,96.0,Intel  Core2Quad CPU Q6600@2.40GHz,Intel Core,,Intel Core2QuadQ6600,Intel Core 2 Quad Q6600 (95W),65.0,95.0,2007.0
1201.0,IntelCore2QuadQ8200,1,x86_64,32.64,4.0,1.0,4.0,1.0,1.0,GenuineIntel,6.0,23.0,Intel(R)Core(TM)2QuadCPUQ8200@2.33GHz,,2333.051,2336.0,2003.0,4666.1,32.0,32.0,2048.0,,GenuineIntel,6.0,23.0,Intel(R)Core(TM)2QuadCPUQ8200@2.33GHz,7.0,2000.0,2048.0,0.0,4.0,4.0,0.0,10.0,4666.37,64.0,64.0,36.48,64.0,Intel  Core2Quad CPU Q8200@2.33GHz,Intel Core,Intel  Core2Quad CPU Q8200@2.33GHz,Intel Core2QuadQ8200,Intel Core 2 Quad Q8200,45.0,95.0,2008.0
1203.0,IntelCore2QuadQ8300,1,x86_64,32.64,4.0,1.0,4.0,1.0,1.0,GenuineIntel,6.0,23.0,,10.0,2003.0,2003.0,2003.0,4987.45,32.0,32.0,2048.0,,GenuineIntel,6.0,23.0,Intel(R)Core(TM)2QuadCPUQ8300@2.50GHz,10.0,2003.0,2048.0,0.0,4.0,4.0,0.0,13.0,4987.45,64.0,64.0,36.48,36.0,Intel  Core2Quad CPU Q8300@2.50GHz,Intel Core,,Intel Core2QuadQ8300,Intel Core 2 Quad Q8300,45.0,95.0,2008.0
1204.0,IntelCore2QuadQ8400,1,x86_64,32.64,4.0,1.0,4.0,1.0,1.0,GenuineIntel,6.0,23.0,Intel(R)Core(TM)2QuadCPUQ8400@2.66GHz,,1998.0,2664.0,1998.0,5333.49,32.0,32.0,2048.0,,GenuineIntel,6.0,23.0,Intel(R)Core(TM)2QuadCPUQ8400@2.66GHz,10.0,1998.0,2048.0,0.0,4.0,4.0,0.0,13.0,5333.49,64.0,64.0,36.48,129.0,Intel  Core2Quad CPU Q8400@2.66GHz,Intel Core,Intel  Core2Quad CPU Q8400@2.66GHz,Intel Core2QuadQ8400,Intel Core 2 Quad Q8400,45.0,95.0,2009.0
1207.0,IntelCore2QuadQ9300,1,x86_64,32.64,4.0,1.0,4.0,1.0,1.0,GenuineIntel,6.0,23.0,,7.0,1998.0,1998.0,1998.0,4999.92,32.0,32.0,3072.0,,GenuineIntel,6.0,23.0,Intel(R)Core(TM)2QuadCPUQ9300@2.50GHz,7.0,1998.0,3072.0,0.0,4.0,4.0,0.0,10.0,4999.92,64.0,64.0,36.48,68.0,Intel  Core2Quad CPU Q9300@2.50GHz,Intel Core,,Intel Core2QuadQ9300,Intel Core 2 Quad Q9300,45.0,95.0,2008.0
1208.0,IntelCore2QuadQ9400,1,x86_64,32.64,4.0,1.0,4.0,1.0,1.0,GenuineIntel,6.0,23.0,,10.0,2003.0,2003.0,2003.0,5332.73,32.0,32.0,3072.0,,GenuineIntel,6.0,23.0,Intel(R)Core(TM)2QuadCPUQ9400@2.66GHz,10.0,2670.0,3072.0,0.0,4.0,4.0,0.0,13.0,5332.69,64.0,64.0,36.48,53.0,Intel  Core2Quad CPU Q9400@2.66GHz,Intel Core,,Intel Core2QuadQ9400,Intel Core 2 Quad Q9400,45.0,95.0,2008.0
1210.0,IntelCore2QuadQ9450,1,x86_64,32.64,4.0,,4.0,1.0,,GenuineIntel,,23.0,,7.0,,,,6399.75,32.0,32.0,6144.0,,GenuineIntel,6.0,23.0,Intel(R)Core(TM)2QuadCPUQ9450@2.66GHz,7.0,2000.0,6144.0,0.0,4.0,4.0,0.0,10.0,5332.86,64.0,64.0,36.48,36.0,Intel  Core2Quad CPU Q9450@2.66GHz,Intel Core,,Intel Core2QuadQ9450,Intel Core 2 Quad Q9450,45.0,95.0,2008.0
1211.0,IntelCore2QuadQ9550,1,x86_64,32.64,4.0,1.0,4.0,1.0,1.0,GenuineIntel,6.0,23.0,,10.0,2003.0,2003.0,2003.0,7105.93,32.0,32.0,6144.0,,GenuineIntel,6.0,23.0,Intel(R)Core(TM)2QuadCPUQ9550@2.83GHz,10.0,2833.0,6144.0,0.0,4.0,4.0,0.0,13.0,7106.01,64.0,64.0,36.48,325.0,Intel  Core2Quad CPU Q9550@2.83GHz,Intel Core,,Intel Core2QuadQ9550,Intel Core 2 Quad Q9550,45.0,95.0,2008.0
1213.0,IntelCore2QuadQ9650,1,x86_64,32.64,4.0,1.0,4.0,1.0,1.0,GenuineIntel,6.0,23.0,,10.0,3003.0,3003.0,3003.0,5999.83,32.0,32.0,6144.0,,GenuineIntel,6.0,23.0,Intel(R)Core(TM)2QuadCPUQ9650@3.00GHz,10.0,3003.0,6144.0,0.0,4.0,4.0,0.0,13.0,5999.83,64.0,64.0,36.48,53.0,Intel  Core2Quad CPU Q9650@3.00GHz,Intel Core,,Intel Core2QuadQ9650,Intel Core 2 Quad Q9650,45.0,95.0,2008.0
1237.0,IntelCorei3-10110U,1,x86_64,32.64,4.0,2.0,2.0,1.0,1.0,GenuineIntel,6.0,142.0,Intel(R)Core(TM)i3-10110UCPU@2.10GHz,,1453.155,4100.0,400.0,5199.98,32.0,32.0,256.0,4096.0,GenuineIntel,6.0,142.0,Intel(R)Core(TM)i3-10110UCPU@2.10GHz,12.0,3491.469,4096.0,0.0,4.0,2.0,0.0,22.0,5199.98,64.0,64.0,39.48,434.0,Intel  Corei3-10110U CPU @2.10GHz,Intel Core-i3,Intel  Corei3-10110U CPU @2.10GHz,Intel Corei3-10110U,Intel Core i3-10110U,14.0,25.0,2019.0
1249.0,IntelCorei3-2100,1,i686,32.64,4.0,2.0,2.0,1.0,,GenuineIntel,6.0,42.0,,7.0,1600.0,1600.0,1600.0,6185.64,32.0,32.0,256.0,3072.0,GenuineIntel,6.0,42.0,Intel(R)Core(TM)i3-2100CPU@3.10GHz,7.0,3100.0,3072.0,0.0,4.0,2.0,0.0,13.0,6184.41,64.0,64.0,36.48,60.0,Intel  Corei3-2100 CPU @3.10GHz,Intel Core-i3,,Intel Corei3-2100,Intel Core i3-2100,32.0,65.0,2011.0
1254.0,IntelCorei3-2120,1,x86_64,32.64,4.0,2.0,2.0,1.0,1.0,GenuineIntel,6.0,42.0,,7.0,1600.0,1600.0,1600.0,6584.84,32.0,32.0,256.0,3072.0,GenuineIntel,6.0,42.0,Intel(R)Core(TM)i3-2120CPU@3.30GHz,7.0,3300.0,3072.0,0.0,4.0,2.0,0.0,13.0,6584.84,64.0,64.0,36.48,30.0,Intel  Corei3-2120 CPU @3.30GHz,Intel Core-i3,,Intel Corei3-2120,Intel Core i3-2120,32.0,65.0,2011.0
1276.0,IntelCorei3-3120M,1,x86_64,32.64,4.0,2.0,2.0,1.0,1.0,GenuineIntel,6.0,58.0,Intel(R)Core(TM)i3-3120MCPU@2.50GHz,9.0,2499.902,2500.0,1200.0,4989.02,32.0,32.0,256.0,3072.0,GenuineIntel,6.0,58.0,Intel(R)Core(TM)i3-3120MCPU@2.50GHz,9.0,2500.0,3072.0,0.0,4.0,2.0,0.0,13.0,4989.02,64.0,64.0,36.48,129.0,Intel  Corei3-3120M CPU @2.50GHz,Intel Core-i3,Intel  Corei3-3120M CPU @2.50GHz,Intel Corei3-3120M,Intel Core i3-3120M,22.0,35.0,2012.0
1281.0,IntelCorei3-3217U,1,x86_64,32.64,4.0,2.0,2.0,1.0,1.0,GenuineIntel,6.0,58.0,,9.0,800.0,800.0,800.0,3591.84,32.0,32.0,256.0,3072.0,GenuineIntel,6.0,58.0,Intel(R)Core(TM)i3-3217UCPU@1.80GHz,9.0,1800.0,3072.0,0.0,4.0,2.0,0.0,13.0,3591.92,64.0,64.0,36.48,199.0,Intel  Corei3-3217U CPU @1.80GHz,Intel Core-i3,,Intel Corei3-3217U,Intel Core i3-3217U,22.0,17.0,2012.0
1284.0,IntelCorei3-3220T,1,x86_64,32.64,4.0,2.0,2.0,1.0,1.0,GenuineIntel,6.0,58.0,,9.0,1600.0,1600.0,1600.0,5605.41,32.0,32.0,256.0,3072.0,GenuineIntel,6.0,58.0,Intel(R)Core(TM)i3-3220TCPU@2.80GHz,9.0,2800.0,3072.0,0.0,4.0,2.0,0.0,13.0,5605.62,64.0,64.0,36.48,40.0,Intel  Corei3-3220T CPU @2.80GHz,Intel Core-i3,,Intel Corei3-3220T,Intel Core i3-3220T,22.0,35.0,2012.0
1290.0,IntelCorei3350M,1,i686,32.64,4.0,2.0,2.0,1.0,,GenuineIntel,6.0,37.0,,2.0,933.0,933.0,933.0,4521.56,32.0,32.0,256.0,3072.0,GenuineIntel,6.0,37.0,Intel(R)Core(TM)i3CPUM350@2.27GHz,2.0,2266.0,3072.0,0.0,4.0,2.0,0.0,11.0,4521.78,64.0,64.0,36.48,29.0,Intel  Corei3 CPU M350@2.27GHz,Intel Core-i3,,Intel Corei3350M,Intel Core i3-350M,32.0,35.0,2010.0
1291.0,IntelCorei3370M,1,x86_64,32.64,4.0,2.0,2.0,1.0,1.0,GenuineIntel,6.0,37.0,,5.0,931.0,931.0,931.0,4787.64,32.0,32.0,256.0,3072.0,GenuineIntel,6.0,37.0,Intel(R)Core(TM)i3CPUM370@2.40GHz,5.0,2394.0,3072.0,0.0,4.0,2.0,0.0,11.0,4787.64,64.0,64.0,36.48,30.0,Intel  Corei3 CPU M370@2.40GHz,Intel Core-i3,,Intel Corei3370M,Intel Core i3-370M,32.0,35.0,2010.0
1292.0,IntelCorei3380M,1,x86_64,32.64,4.0,2.0,2.0,,,GenuineIntel,6.0,37.0,,5.0,2533.0,2533.0,2533.0,5053.73,32.0,32.0,256.0,3072.0,GenuineIntel,6.0,37.0,Intel(R)Core(TM)i3CPUM380@2.53GHz,5.0,933.0,3072.0,0.0,4.0,2.0,0.0,11.0,5053.96,64.0,64.0,36.48,50.0,Intel  Corei3 CPU M380@2.53GHz,Intel Core-i3,,Intel Corei3380M,Intel Core i3-380M,32.0,35.0,2010.0
1296.0,IntelCorei3-4010U,1,i686,32.64,4.0,2.0,2.0,1.0,,GenuineIntel,6.0,69.0,Intel(R)Core(TM)i3-4010UCPU@1.70GHz,1.0,1700.0,1700.0,800.0,3391.96,32.0,32.0,256.0,3072.0,GenuineIntel,6.0,69.0,Intel(R)Core(TM)i3-4010UCPU@1.70GHz,1.0,1700.0,3072.0,0.0,4.0,2.0,0.0,13.0,3391.88,64.0,64.0,39.48,125.0,Intel  Corei3-4010U CPU @1.70GHz,Intel Core-i3,Intel  Corei3-4010U CPU @1.70GHz,Intel Corei3-4010U,Intel Core i3-4010U,22.0,15.0,2013.0
1301.0,IntelCorei3-4130,1,x86_64,32.64,4.0,2.0,2.0,1.0,1.0,GenuineIntel,6.0,60.0,Intel(R)Core(TM)i3-4130CPU@3.40GHz,3.0,3400.0,3400.0,800.0,6784.13,32.0,32.0,256.0,3072.0,GenuineIntel,6.0,60.0,Intel(R)Core(TM)i3-4130CPU@3.40GHz,3.0,3400.0,3072.0,0.0,4.0,2.0,0.0,13.0,6784.13,64.0,64.0,39.48,60.0,Intel  Corei3-4130 CPU @3.40GHz,Intel Core-i3,Intel  Corei3-4130 CPU @3.40GHz,Intel Corei3-4130,Intel Core i3-4130,22.0,54.0,2013.0
1313.0,IntelCorei3-4370,1,x86_64,32.64,4.0,2.0,2.0,1.0,1.0,GenuineIntel,6.0,60.0,,3.0,800.0,800.0,800.0,7582.2,32.0,32.0,256.0,4096.0,GenuineIntel,6.0,60.0,Intel(R)Core(TM)i3-4370CPU@3.80GHz,3.0,3800.0,4096.0,0.0,4.0,2.0,0.0,13.0,7582.2,64.0,64.0,39.48,450.0,Intel  Corei3-4370 CPU @3.80GHz,Intel Core-i3,,Intel Corei3-4370,Intel Core i3-4370,22.0,54.0,2014.0
1315.0,IntelCorei3-5005U,1,,32.64,4.0,2.0,,,1.0,GenuineIntel,,,,,1431.986,1900.0,500.0,3990.89,32.0,32.0,256.0,3072.0,GenuineIntel,6.0,61.0,Intel(R)Core(TM)i3-5005UCPU@2.00GHz,4.0,1680.089,3072.0,0.0,4.0,2.0,0.0,20.0,3990.89,64.0,64.0,39.48,275.0,Intel  Corei3-5005U CPU @2.00GHz,Intel Core-i3,,Intel Corei3-5005U,Intel Core i3-5005U,14.0,15.0,2015.0
1316.0,IntelCorei3-5010U,1,x86_64,32.64,4.0,2.0,2.0,1.0,1.0,GenuineIntel,6.0,61.0,Intel(R)Core(TM)i3-5010UCPU@2.10GHz,4.0,2100.0,2100.0,500.0,4190.53,32.0,32.0,256.0,3072.0,GenuineIntel,6.0,61.0,Intel(R)Core(TM)i3-5010UCPU@2.10GHz,4.0,2100.1639999999998,3072.0,0.0,4.0,2.0,0.0,20.0,4190.53,64.0,64.0,39.48,304.0,Intel  Corei3-5010U CPU @2.10GHz,Intel Core-i3,Intel  Corei3-5010U CPU @2.10GHz,Intel Corei3-5010U,Intel Core i3-5010U,14.0,15.0,2015.0
1319.0,IntelCorei3540,1,x86_64,32.64,4.0,2.0,2.0,1.0,1.0,GenuineIntel,6.0,37.0,Intel(R)Core(TM)i3CPU540@3.07GHz,5.0,1330.0,3059.0,1197.0,6133.26,32.0,32.0,256.0,4096.0,GenuineIntel,6.0,37.0,Intel(R)Core(TM)i3CPU540@3.07GHz,2.0,3066.7670000000003,6144.0,,,,,5.0,6133.53,64.0,64.0,36.48,59.0,Intel  Corei3 CPU 540@3.07GHz,Intel Core-i3,Intel  Corei3 CPU 540@3.07GHz,Intel Corei3540,Intel Core i3-540,32.0,73.0,2010.0
1320.0,IntelCorei3550,1,x86_64,32.64,4.0,2.0,2.0,1.0,1.0,GenuineIntel,6.0,37.0,Intel(R)Core(TM)i3CPU550@3.20GHz,,2090.742,3192.0,1197.0,6384.17,32.0,32.0,256.0,4096.0,GenuineIntel,6.0,37.0,Intel(R)Core(TM)i3CPU550@3.20GHz,5.0,2319.75,4096.0,0.0,4.0,2.0,0.0,11.0,6384.17,64.0,64.0,36.48,19.0,Intel  Corei3 CPU 550@3.20GHz,Intel Core-i3,Intel  Corei3 CPU 550@3.20GHz,Intel Corei3550,Intel Core i3-550,32.0,73.0,2010.0
1322.0,IntelCorei3-6100,1,x86_64,32.64,4.0,2.0,2.0,1.0,1.0,GenuineIntel,6.0,94.0,Intel(R)Core(TM)i3-6100CPU@3.70GHz,3.0,847.0880000000001,3700.0,800.0,7392.94,32.0,32.0,256.0,3072.0,GenuineIntel,6.0,94.0,Intel(R)Core(TM)i3-6100CPU@3.70GHz,3.0,799.89,3072.0,0.0,4.0,2.0,0.0,22.0,7392.0,64.0,64.0,39.48,161.0,Intel  Corei3-6100 CPU @3.70GHz,Intel Core-i3,Intel  Corei3-6100 CPU @3.70GHz,Intel Corei3-6100,Intel Core i3-6100,14.0,51.0,2015.0
1323.0,IntelCore26300,1,x86_64,32.64,2.0,1.0,2.0,1.0,1.0,GenuineIntel,6.0,15.0,Intel(R)Core(TM)2CPU6300@1.86GHz,6.0,1861.914,1861.915,1861.9160000000002,3723.82,32.0,32.0,2048.0,,GenuineIntel,6.0,15.0,Intel(R)Core(TM)2CPU6300@1.86GHz,6.0,1861.914,2048.0,0.0,2.0,2.0,0.0,10.0,3723.82,64.0,64.0,36.48,25.0,Intel  Core2 CPU 6300@1.86GHz,Intel Core,Intel  Core2 CPU 6300@1.86GHz,Intel Core26300,Intel Core i3-6300,14.0,51.0,2015.0
1323.0,IntelCorei3-6300,1,x86_64,32.64,4.0,2.0,2.0,1.0,1.0,GenuineIntel,6.0,94.0,Intel(R)Core(TM)i3-6300CPU@3.80GHz,3.0,3800.0,3800.0,800.0,7584.0,32.0,32.0,256.0,4096.0,GenuineIntel,6.0,94.0,Intel(R)Core(TM)i3-6300CPU@3.80GHz,3.0,3800.0,4096.0,0.0,4.0,2.0,0.0,22.0,7584.0,64.0,64.0,39.48,170.0,Intel  Corei3-6300 CPU @3.80GHz,Intel Core-i3,Intel  Corei3-6300 CPU @3.80GHz,Intel Corei3-6300,Intel Core i3-6300,14.0,51.0,2015.0
1325.0,IntelCorei3-7100,1,x86_64,32.64,4.0,2.0,2.0,1.0,1.0,GenuineIntel,6.0,158.0,Intel(R)Core(TM)i3-7100CPU@3.90GHz,9.0,3900.0,3900.0,800.0,7824.0,32.0,32.0,256.0,3072.0,GenuineIntel,6.0,158.0,Intel(R)Core(TM)i3-7100CPU@3.90GHz,9.0,3900.0,3072.0,0.0,4.0,2.0,0.0,22.0,7824.0,64.0,64.0,39.48,187.0,Intel  Corei3-7100 CPU @3.90GHz,Intel Core-i3,Intel  Corei3-7100 CPU @3.90GHz,Intel Corei3-7100,Intel Core i3-7100,14.0,51.0,2017.0
1334.0,IntelCorei3-7350K,1,x86_64,32.64,4.0,2.0,2.0,1.0,1.0,GenuineIntel,6.0,158.0,Intel(R)Core(TM)i3-7350KCPU@4.20GHz,9.0,800.061,4200.0,800.0,8400.0,32.0,32.0,256.0,4096.0,GenuineIntel,6.0,158.0,Intel(R)Core(TM)i3-7350KCPU@4.20GHz,9.0,800.061,4096.0,0.0,4.0,2.0,0.0,22.0,8400.0,64.0,64.0,39.48,240.0,Intel  Corei3-7350K CPU @4.20GHz,Intel Core-i3,Intel  Corei3-7350K CPU @4.20GHz,Intel Corei3-7350K,Intel Core i3-7350K,14.0,60.0,2017.0
1338.0,IntelCorei3-8100,1,x86_64,32.64,4.0,1.0,4.0,1.0,1.0,GenuineIntel,6.0,158.0,Intel(R)Core(TM)i3-8100CPU@3.60GHz,11.0,3629.8959999999997,3600.0,800.0,7200.0,32.0,32.0,256.0,6144.0,GenuineIntel,6.0,158.0,Intel(R)Core(TM)i3-8100CPU@3.60GHz,11.0,3629.8959999999997,6144.0,0.0,4.0,4.0,0.0,22.0,7200.0,64.0,64.0,39.48,200.0,Intel  Corei3-8100 CPU @3.60GHz,Intel Core-i3,Intel  Corei3-8100 CPU @3.60GHz,Intel Corei3-8100,Intel Core i3-8100,14.0,62.0,2017.0
1339.0,IntelCorei3-8100T,1,x86_64,32.64,4.0,1.0,4.0,1.0,1.0,GenuineIntel,6.0,158.0,Intel(R)Core(TM)i3-8100TCPU@3.10GHz,11.0,3100.0,3100.0,800.0,6192.0,32.0,32.0,256.0,6144.0,GenuineIntel,6.0,158.0,Intel(R)Core(TM)i3-8100TCPU@3.10GHz,11.0,3100.0,6144.0,0.0,4.0,4.0,0.0,22.0,6192.0,64.0,64.0,39.48,139.0,Intel  Corei3-8100T CPU @3.10GHz,Intel Core-i3,Intel  Corei3-8100T CPU @3.10GHz,Intel Corei3-8100T,Intel Core i3-8100T,14.0,35.0,2018.0
1340.0,IntelCorei3-8109U,1,x86_64,32.64,4.0,2.0,2.0,1.0,1.0,GenuineIntel,6.0,142.0,Intel(R)Core(TM)i3-8109UCPU@3.00GHz,10.0,3201.937,3600.0,400.0,6002.0,32.0,32.0,256.0,4096.0,GenuineIntel,6.0,142.0,Intel(R)Core(TM)i3-8109UCPU@3.00GHz,10.0,3000.058,4096.0,0.0,4.0,2.0,0.0,22.0,6002.0,64.0,64.0,39.48,500.0,Intel  Corei3-8109U CPU @3.00GHz,Intel Core-i3,Intel  Corei3-8109U CPU @3.00GHz,Intel Corei3-8109U,Intel Core i3-8109U,14.0,28.0,2018.0
1374.0,IntelCorei5-1135G7,1,x86_64,32.64,8.0,2.0,4.0,1.0,1.0,GenuineIntel,6.0,140.0,11thGenIntel(R)Core(TM)i5-1135G7@2.40GHz,1.0,2400.0,4200.0,400.0,4838.4,192.0,128.0,5000.0,8000.0,GenuineIntel,6.0,140.0,11thGenIntel(R)Core(TM)i5-1135G7@2.40GHz,1.0,2400.0,8192.0,0.0,8.0,4.0,0.0,27.0,4838.4,64.0,64.0,39.48,309.0,11thGenIntel  Corei5-1135G7@2.40GHz,Intel Core-i5,11thGenIntel  Corei5-1135G7@2.40GHz,Intel Corei5-1135G7,Intel Core i5-1135G7,10.0,28.0,2020.0
1385.0,IntelCorei5-11600K,1,x86_64,32.64,12.0,2.0,6.0,1.0,1.0,GenuineIntel,6.0,167.0,11thGenIntel(R)Core(TM)i5-11600K@3.90GHz,1.0,3900.0,4900.0,800.0,7824.0,288.0,192.0,3000.0,12000.0,GenuineIntel,6.0,167.0,11thGenIntel(R)Core(TM)i5-11600K@3.90GHz,1.0,3900.0,12288.0,0.0,12.0,6.0,0.0,27.0,7824.0,64.0,64.0,39.48,295.0,11thGenIntel  Corei5-11600K@3.90GHz,Intel Core-i5,11thGenIntel  Corei5-11600K@3.90GHz,Intel Corei5-11600K,Intel Core i5-11600K,14.0,125.0,2021.0
1390.0,IntelCorei5-2320,1,x86_64,,4.0,,,1.0,,GenuineIntel,6.0,42.0,,7.0,3009.321,3009.322,3009.323,6021.19,32.0,32.0,256.0,6144.0,GenuineIntel,6.0,42.0,Intel(R)Core(TM)i5-2320CPU@3.00GHz,7.0,3009.321,6144.0,0.0,4.0,4.0,0.0,13.0,6018.64,64.0,64.0,36.48,104.0,Intel  Corei5-2320 CPU @3.00GHz,Intel Core-i5,,Intel Corei5-2320,Intel Core i5-2320,32.0,95.0,2011.0
1393.0,IntelCorei5-2400,1,x86_64,32.64,4.0,1.0,4.0,1.0,1.0,GenuineIntel,6.0,42.0,,,1600.0,1600.0,1600.0,6185.9,32.0,32.0,256.0,6144.0,GenuineIntel,6.0,42.0,Intel(R)Core(TM)i5-2400CPU@3.10GHz,7.0,3301.0,6144.0,0.0,4.0,4.0,0.0,13.0,6185.62,64.0,64.0,36.48,59.0,Intel  Corei5-2400 CPU @3.10GHz,Intel Core-i5,,Intel Corei5-2400,Intel Core i5-2400,32.0,95.0,2011.0
1394.0,IntelCorei5-2400S,1,x86_64,32.64,4.0,1.0,4.0,,1.0,GenuineIntel,6.0,42.0,,7.0,1600.0,1600.0,1600.0,4999.84,32.0,32.0,256.0,6144.0,GenuineIntel,6.0,42.0,Intel(R)Core(TM)i5-2400SCPU@2.50GHz,7.0,2501.0,6144.0,0.0,4.0,4.0,0.0,13.0,5000.08,64.0,64.0,36.48,145.0,Intel  Corei5-2400S CPU @2.50GHz,Intel Core-i5,,Intel Corei5-2400S,Intel Core i5-2400S,32.0,65.0,2011.0
1395.0,IntelCorei5-2405S,1,x86_64,32.64,4.0,1.0,4.0,1.0,1.0,GenuineIntel,6.0,42.0,,7.0,1600.0,1600.0,1600.0,4988.63,32.0,32.0,256.0,6144.0,GenuineIntel,6.0,42.0,Intel(R)Core(TM)i5-2405SCPU@2.50GHz,7.0,2494.315,6144.0,0.0,4.0,4.0,0.0,13.0,4990.48,64.0,64.0,36.48,208.0,Intel  Corei5-2405S CPU @2.50GHz,Intel Core-i5,,Intel Corei5-2405S,Intel Core i5-2405S,32.0,65.0,2011.0
1396.0,IntelCorei5-2410M,1,x86_64,32.64,4.0,,,1.0,,GenuineIntel,,,,,2301.0,2301.0,2301.0,4589.88,,,,,GenuineIntel,6.0,42.0,Intel(R)Core(TM)i5-2410MCPU@2.30GHz,7.0,800.0,3072.0,0.0,4.0,2.0,0.0,13.0,4589.88,64.0,64.0,36.48,42.0,Intel  Corei5-2410M CPU @2.30GHz,Intel Core-i5,,Intel Corei5-2410M,Intel Core i5-2410M,32.0,35.0,2011.0
1398.0,IntelCorei5-2415M,1,x86_64,32.64,4.0,2.0,2.0,,1.0,GenuineIntel,6.0,42.0,,7.0,800.0,800.0,800.0,4589.37,32.0,32.0,256.0,3072.0,GenuineIntel,6.0,42.0,Intel(R)Core(TM)i5-2415MCPU@2.30GHz,7.0,2301.0,3072.0,0.0,4.0,2.0,0.0,13.0,4589.7,64.0,64.0,36.48,82.0,Intel  Corei5-2415M CPU @2.30GHz,Intel Core-i5,,Intel Corei5-2415M,Intel Core i5-2415M,32.0,35.0,2011.0
1399.0,IntelCorei5-2430M,1,x86_64,32.64,4.0,2.0,2.0,,1.0,GenuineIntel,6.0,42.0,,7.0,2392.072,2392.073,2392.074,,32.0,32.0,256.0,3072.0,GenuineIntel,6.0,42.0,Intel(R)Core(TM)i5-2430MCPU@2.40GHz,7.0,2392.072,3072.0,0.0,4.0,2.0,0.0,13.0,4784.14,64.0,64.0,36.48,73.0,Intel  Corei5-2430M CPU @2.40GHz,Intel Core-i5,,Intel Corei5-2430M,Intel Core i5-2430M,32.0,35.0,2011.0
