,name,description,type,url
201,John The Ripper,This is a benchmark of John The Ripper which is a password cracker.,Processor,https://openbenchmarking.org/test/pts/john-the-ripper
202,JPEG XL libjxl,The JPEG XL Image Coding System is designed to provide next-generation JPEG image capabilities with JPEG XL offering better image quality and compression over legacy JPEG,Processor,https://openbenchmarking.org/test/pts/jpegxl
203,JPEG XL Decoding libjxl,The JPEG XL Image Coding System is designed to provide next-generation JPEG image capabilities with JPEG XL offering better image quality and compression over legacy JPEG,Processor,https://openbenchmarking.org/test/pts/jpegxl-decode
204,JuliaGPU,JuliaGPU is an OpenCL benchmark,System,https://openbenchmarking.org/test/pts/juliagpu
205,JXRenderMark,JXRenderMark is an open-source benchmark of the X Render extension for X.Org,Graphics,https://openbenchmarking.org/test/pts/jxrendermark
206,KeyDB,A benchmark of KeyDB as a multi-threaded fork of the Redis server,System,https://openbenchmarking.org/test/pts/keydb
207,Kripke,Kripke is a simple scalable 3D Sn deterministic particle transport code,System,https://openbenchmarking.org/test/pts/kripke
208,Kvazaar,This is a test of Kvazaar as a CPU-based H.265 video encoder written in the C programming language and optimized in Assembly,Processor,https://openbenchmarking.org/test/pts/kvazaar
209,Left 4 Dead 2,This is a benchmark of Valve's Left 4 Dead 2 game,Graphics,https://openbenchmarking.org/test/pts/l4d2
210,LAMMPS Molecular Dynamics Simulator,LAMMPS is a classical molecular dynamics code and an acronym for Large-scale Atomic/Molecular Massively Parallel Simulator.,Processor,https://openbenchmarking.org/test/pts/lammps
211,LeelaChessZero,LeelaChessZero (lc0 / lczero) is a chess engine automated vian neural networks,Processor,https://openbenchmarking.org/test/pts/lczero
212,LevelDB,LevelDB is a key-value storage library developed by Google that supports making use of Snappy for data compression and has other modern features.,System,https://openbenchmarking.org/test/pts/leveldb
213,libgav1,Libgav1 is an AV1 decoder developed by Google for AV1 profile 0/1 compliance.,Processor,https://openbenchmarking.org/test/pts/libgav1
214,Libplacebo,Libplacebo is a multimedia rendering library based on the core rendering code of the MPV player,Graphics,https://openbenchmarking.org/test/pts/libplacebo
215,LibRaw,LibRaw is a RAW image decoder for digital camera photos,Processor,https://openbenchmarking.org/test/pts/libraw
216,LibreOffice,Various benchmarking operations with the LibreOffice open-source office suite.,System,https://openbenchmarking.org/test/system/libreoffice
217,Liquid-DSP,LiquidSDR's Liquid-DSP is a software-defined radio (SDR) digital signal processing library,Processor,https://openbenchmarking.org/test/pts/liquid-dsp
218,LuaJIT,This test profile is a collection of Lua scripts/benchmarks run against a locally-built copy of LuaJIT upstream.,Processor,https://openbenchmarking.org/test/pts/luajit
219,LuaRadio,LuaRadio is a lightweight software-defined radio (SDR) framework built atop LuaJIT,Processor,https://openbenchmarking.org/test/pts/luaradio
220,LULESH,LULESH is the Livermore Unstructured Lagrangian Explicit Shock Hydrodynamics.,Processor,https://openbenchmarking.org/test/pts/lulesh
221,Lulesh OpenCL,Lulesh OpenCL benchmark: Livermore Unstructured Lagrangian Explicit Shock Hydrodynamics.,System,https://openbenchmarking.org/test/pts/lulesh-cl
222,LuxCoreRender,LuxCoreRender is an open-source physically based renderer,Processor,https://openbenchmarking.org/test/pts/luxcorerender
223,LuxMark,LuxMark is a multi-platform OpenGL benchmark using LuxRender,System,https://openbenchmarking.org/test/pts/luxmark
224,lzbench,lzbench is an in-memory benchmark of various compressors,Processor,https://openbenchmarking.org/test/pts/lzbench
225,m-queens,A solver for the N-queens problem with multi-threading support via the OpenMP library.,Processor,https://openbenchmarking.org/test/pts/m-queens
226,Mad Max,This is a benchmark of Mad Max on Steam,Graphics,https://openbenchmarking.org/test/pts/madmax
227,Timed MAFFT Alignment,This test performs an alignment of 100 pyruvate decarboxylase sequences.,Processor,https://openbenchmarking.org/test/pts/mafft
228,MandelbulbGPU,MandelbulbGPU is an OpenCL benchmark.,System,https://openbenchmarking.org/test/pts/mandelbulbgpu
229,MandelGPU,MandelGPU is an OpenCL benchmark and this test runs with the OpenCL rendering float4 kernel with a maximum of 4096 iterations.,System,https://openbenchmarking.org/test/pts/mandelgpu
230,MBW,This is a basic/simple memory (RAM) bandwidth benchmark for memory copy operations.,Memory,https://openbenchmarking.org/test/pts/mbw
231,Memcached mcperf,This is a test of twmperf/mcperf with memcached.,System,https://openbenchmarking.org/test/pts/mcperf
232,Memtier_benchmark,Memtier_benchmark is a NoSQL Redis/Memcache traffic generation plus benchmarking tool,System,https://openbenchmarking.org/test/pts/memtier-benchmark
233,Mencoder,This test uses mplayer's mencoder utility and the libavcodec family for testing the system's audio/video encoding performance.,Processor,https://openbenchmarking.org/test/pts/mencoder
234,Metro 2033 Redux,A Steam-based test of the Metro 2033 Redux game.,Graphics,https://openbenchmarking.org/test/pts/metro2033-redux
235,Metro: Last Light Redux,A Steam-based test of the Metro: Last Light Redux game.,Graphics,https://openbenchmarking.org/test/pts/metroll-redux
236,miniFE,MiniFE Finite Element is an application for unstructured implicit finite element codes.,Processor,https://openbenchmarking.org/test/pts/minife
237,Minion,Minion is an open-source constraint solver that is designed to be very scalable,Processor,https://openbenchmarking.org/test/pts/minion
238,Mixbench,A benchmark suite for GPUs on mixed operational intensity kernels.,Graphics,https://openbenchmarking.org/test/pts/mixbench
239,oneDNN MKL-DNN,This is a test of the Intel oneDNN (formerly DNNL / Deep Neural Network Library / MKL-DNN) as an Intel-optimized library for Deep Neural Networks and making use of its built-in benchdnn functionality,Processor,https://openbenchmarking.org/test/pts/mkl-dnn
240,Mlpack Benchmark,Mlpack benchmark scripts for machine learning libraries,System,https://openbenchmarking.org/test/pts/mlpack
241,Mobile Neural Network,MNN is the Mobile Neural Network as a highly efficient lightweight deep learning framework developed by ALibaba.,System,https://openbenchmarking.org/test/pts/mnn
242,Monte Carlo Simulations of Ionised Nebulae,Mocassin is the Monte Carlo Simulations of Ionised Nebulae,Processor,https://openbenchmarking.org/test/pts/mocassin
243,Montage Astronomical Image Mosaic Engine,Montage is an open-source astronomical image mosaic engine,Processor,https://openbenchmarking.org/test/pts/montage
244,GNU MPC,GNU MPC is a C library for the arithmetic of complex numbers.,Processor,https://openbenchmarking.org/test/pts/mpcbench
245,MPV,MPV is an open-source cross-platform media player,System,https://openbenchmarking.org/test/system/mpv
246,Timed MrBayes Analysis,This test performs a bayesian analysis of a set of primate genome sequences in order to estimate their phylogeny.,Processor,https://openbenchmarking.org/test/pts/mrbayes
247,ACES DGEMM,This is a multi-threaded DGEMM benchmark.,Processor,https://openbenchmarking.org/test/pts/mt-dgemm
248,Multichase Pointer Chaser,This is a benchmark of Google's multichase pointer chaser program.,Processor,https://openbenchmarking.org/test/pts/multichase
249,BenchmarkMutex,BenchmarkMutex is a mutex benchmark created by Malte Skarupke.,System,https://openbenchmarking.org/test/pts/mutex
250,MariaDB,This is a MariaDB MySQL database server benchmark making use of mysqlslap.,System,https://openbenchmarking.org/test/pts/mysqlslap
251,N-Queens,This is a test of the OpenMP version of a test that solves the N-queens problem,Processor,https://openbenchmarking.org/test/pts/n-queens
252,NAMD,NAMD is a parallel molecular dynamics code designed for high-performance simulation of large biomolecular systems,Processor,https://openbenchmarking.org/test/pts/namd
253,NAMD CUDA,NAMD is a parallel molecular dynamics code designed for high-performance simulation of large biomolecular systems,Processor,https://openbenchmarking.org/test/pts/namd-cuda
254,Natron,Natron is an open-source cross-platform compositing software for visual effects (VFX) and motion graphics.,System,https://openbenchmarking.org/test/pts/natron
255,NCNN,NCNN is a high performance neural network inference framework optimized for mobile and other platforms developed by Tencent.,System,https://openbenchmarking.org/test/pts/ncnn
256,Nebular Empirical Analysis Tool,NEAT is the Nebular Empirical Analysis Tool for empirical analysis of ionised nebulae with uncertainty propagation.,Processor,https://openbenchmarking.org/test/pts/neat
257,NeatBench,NeatBench is a benchmark of the cross-platform Neat Video software.,System,https://openbenchmarking.org/test/pts/neatbench
258,Open FMM Nero2D,This is a test of Nero2D which is a two-dimensional TM/TE solver for Open FMM,Processor,https://openbenchmarking.org/test/pts/nero2d
259,Netperf,Netperf is a network bandwidth testing software,Network,https://openbenchmarking.org/test/pts/netperf
260,Nettle,GNU Nettle is a low-level cryptographic library.,Processor,https://openbenchmarking.org/test/pts/nettle
261,Loopback TCP Network Performance,This test measures the loopback network adapter performance using a micro-benchmark to measure the TCP performance.,Network,https://openbenchmarking.org/test/pts/network-loopback
262,NVIDIA GPU Cloud TensorFlow,This test profile uses the NVIDIA GPU Cloud (NGC/nvcr.io) for running the TensorFlow image inside Docker for benchmarking,Graphics,https://openbenchmarking.org/test/pts/ngc-tensorflow
263,NGINX Benchmark,This is a test of ab which is the Apache Benchmark program running against nginx,System,https://openbenchmarking.org/test/pts/nginx
264,Ngspice,Ngspice is an open-source SPICE circuit simulator,Processor,https://openbenchmarking.org/test/pts/ngspice
265,Node.js Express HTTP Load Test,A Node.js Express server with a Node-based loadtest client for facilitating HTTP benchmarking.,Processor,https://openbenchmarking.org/test/pts/node-express-loadtest
266,Node.js Octane Benchmark,A Node.js version of the JavaScript Octane Benchmark.,Processor,https://openbenchmarking.org/test/pts/node-octane
267,Node.js V8 Web Tooling Benchmark,Running the V8 project's Web-Tooling-Benchmark under Node.js,Processor,https://openbenchmarking.org/test/pts/node-web-tooling
268,Novabench,This is a benchmark of Novabench,System,https://openbenchmarking.org/test/pts/novabench
269,NAS Parallel Benchmarks,NPB NAS Parallel Benchmarks is a benchmark developed by NASA for high-end computer systems,Processor,https://openbenchmarking.org/test/pts/npb
270,Numenta Anomaly Benchmark,Numenta Anomaly Benchmark (NAB) is a benchmark for evaluating algorithms for anomaly detection in streaming real-time applications,System,https://openbenchmarking.org/test/pts/numenta-nab
271,Numpy Benchmark,This is a test to obtain the general Numpy performance.,Processor,https://openbenchmarking.org/test/pts/numpy
272,Nuttcp,Nuttcp is a network performance measurement tool intended for use by network and system managers,Network,https://openbenchmarking.org/test/pts/nuttcp
273,NWChem,NWChem is an open-source high performance computational chemistry package,Processor,https://openbenchmarking.org/test/pts/nwchem
274,OCRMyPDF,OCRMyPDF is an optical character recognition (OCR) text layer to scanned PDF files producing new PDFs with the text now selectable/searchable/copy-paste capable,System,https://openbenchmarking.org/test/system/ocrmypdf
275,OctaneBench,OctaneBench is a test of the OctaneRender on the GPU.,Graphics,https://openbenchmarking.org/test/pts/octanebench
276,GNU Octave Benchmark,This test profile measures how long it takes to complete several reference GNU Octave files via octave-benchmark,System,https://openbenchmarking.org/test/system/octave-benchmark
277,Intel Open Image Denoise,Open Image Denoise is a denoising library for ray-tracing and part of the oneAPI rendering toolkit.,Processor,https://openbenchmarking.org/test/pts/oidn
278,oneAPI Level Zero Tests,This is benchmarking the collection of Intel oneAPI Level Zero Tests.,System,https://openbenchmarking.org/test/pts/oneapi-level-zero
279,oneDNN,This is a test of the Intel oneDNN as an Intel-optimized library for Deep Neural Networks and making use of its built-in benchdnn functionality,Processor,https://openbenchmarking.org/test/pts/onednn
280,ONNX Runtime,ONNX Runtime is developed by Microsoft and partners as a open-source cross-platform high performance machine learning inferencing and training accelerator,System,https://openbenchmarking.org/test/pts/onnx
281,Open Porous Media,This is a test of a DUNE (Distributed and Unified Numerics Environment) module called OPM Benchmarks from the Open Porous Media project,Processor,https://openbenchmarking.org/test/pts/open-porous-media
282,OpenArena,This is a test of OpenArena a popular open-source first-person shooter,Graphics,https://openbenchmarking.org/test/pts/openarena
283,OpenCV,This is a benchmark of the OpenCV (Computer Vision) library's built-in performance tests.,System,https://openbenchmarking.org/test/pts/opencv
284,OpenCV Benchmark,Stress benchmark tests to measure time consumed by the OpenCV libraries installed,Processor,https://openbenchmarking.org/test/pts/opencv-bench
285,OpenDwarfs,OpenDwarfs is a non-commercial OpenCL compute benchmark suite developed at Virginia Tech in cooperation with various organizations.,System,https://openbenchmarking.org/test/pts/opendwarfs
286,OpenFOAM,OpenFOAM is the leading free open source software for computational fluid dynamics (CFD).,Processor,https://openbenchmarking.org/test/pts/openfoam
287,OpenSCAD,OpenSCAD is a programmer-focused solid 3D CAD modeller,System,https://openbenchmarking.org/test/system/openscad
288,OpenSSL,OpenSSL is an open-source toolkit that implements SSL (Secure Sockets Layer) and TLS (Transport Layer Security) protocols,Processor,https://openbenchmarking.org/test/pts/openssl
289,OpenSSL,,,https://openbenchmarking.org/test/system/openssl
290,OpenSSL,OpenSSL is an open-source toolkit that implements SSL (Secure Sockets Layer) and TLS (Transport Layer Security) protocols,Processor,https://openbenchmarking.org/test/windows/openssl
291,OpenVINO,This is a test of the Intel OpenVINO a toolkit around neural networks using its built-in benchmarking support and analyzing the throughput and latency for various models.,System,https://openbenchmarking.org/test/pts/openvino
292,OpenVKL,OpenVKL is the Intel Open Volume Kernel Library that offers high-performance volume computation kernels and part of the Intel oneAPI rendering toolkit.,Processor,https://openbenchmarking.org/test/pts/openvkl
293,Open Porous Media,This is a test of Open Porous Media a set of open-source tools concerning simulation of flow and transport of fluids in porous media,Processor,https://openbenchmarking.org/test/system/opm
294,Open Porous Media Git,This is a test of Open Porous Media a set of open-source tools concerning simulation of flow and transport of fluids in porous media,Processor,https://openbenchmarking.org/test/pts/opm-git
295,Optcarrot,Optcarrot is an NES emulator benchmark for the Ruby language.,System,https://openbenchmarking.org/test/pts/optcarrot
296,OSBench,OSBench is a collection of micro-benchmarks for measuring operating system primitives like time to create threads/processes launching programs creating files and memory allocation.,System,https://openbenchmarking.org/test/pts/osbench
297,OSPray,Intel OSPray is a portable ray-tracing engine for high-performance high-fidenlity scientific visualizations,Processor,https://openbenchmarking.org/test/pts/ospray
298,ParaView,This test runs ParaView benchmarks: an open-source data analytics and visualization application,Graphics,https://openbenchmarking.org/test/pts/paraview
299,Parboil,The Parboil Benchmarks from the IMPACT Research Group at University of Illinois are a set of throughput computing applications for looking at computing architecture and compilers,Processor,https://openbenchmarking.org/test/pts/parboil
300,PassMark PerformanceTEST,This is a benchmark of PassMark PerformanceTEST,System,https://openbenchmarking.org/test/windows/passmark
301,PCMark 10,This is a benchmark of PCMark 10,System,https://openbenchmarking.org/test/windows/pcmark10
302,Pennant,Pennant is an application focused on hydrodynamics on general unstructured meshes in 2D.,Processor,https://openbenchmarking.org/test/pts/pennant
303,perf-bench,This test profile is used for running Linux perf-bench the benchmark support within the Linux kernel's perf tool.,Processor,https://openbenchmarking.org/test/pts/perf-bench
304,Perl Benchmarks,Perl benchmark suite that can be used to compare the relative speed of different versions of perl.,Processor,https://openbenchmarking.org/test/pts/perl-benchmark
305,PostgreSQL pgbench,This is a simple TPC-B like benchmark of PostgreSQL.,System,https://openbenchmarking.org/test/pts/pgbench
306,PHP Micro Benchmarks,Various small PHP micro-benchmarks.,System,https://openbenchmarking.org/test/pts/php
307,PHPBench,PHPBench is a benchmark suite for PHP,System,https://openbenchmarking.org/test/pts/phpbench
308,Pjdfstest,Pjdfstest is a file-system test suite making use of POSIX file-system calls.,Disk,https://openbenchmarking.org/test/pts/pjdfstest
309,PJSIP,PJSIP is a free and open source multimedia communication library written in C language implementing standard based protocols such as SIP SDP RTP STUN TURN and ICE,Processor,https://openbenchmarking.org/test/pts/pjsip
310,PlaidML,This test profile uses PlaidML deep learning framework for offering up various inference benchmarks.,Graphics,https://openbenchmarking.org/test/pts/plaidml
311,pmbench,Pmbench is a Linux paging and virtual memory benchmark,Memory,https://openbenchmarking.org/test/pts/pmbench
312,PolyBench-C,PolyBench-C is a C-language polyhedral benchmark suite made at the Ohio State University.,Processor,https://openbenchmarking.org/test/pts/polybench-c
313,Polyhedron Fortran Benchmarks,The Fortran.uk Polyhedron Fortran Benchmarks for comparing Fortran compiler performance.,Processor,https://openbenchmarking.org/test/pts/polyhedron
314,Portal,This is a benchmark of Valve's Portal game,Graphics,https://openbenchmarking.org/test/pts/portal
315,Portal 2,This is a benchmark of Valve's Portal 2 game,Graphics,https://openbenchmarking.org/test/pts/portal2
316,PostMark,This is a test of NetApp's PostMark benchmark designed to simulate small-file testing similar to the tasks endured by web and mail servers,Disk,https://openbenchmarking.org/test/pts/postmark
317,POV-Ray,This is a test of POV-Ray the Persistence of Vision Raytracer,Processor,https://openbenchmarking.org/test/pts/povray
318,Powertop Wakeups,This test measures the wakeups-from-idle per second for a given interval.,Processor,https://openbenchmarking.org/test/pts/powertop-wakeups
319,Planet Penguin Racer,This test runs the open-source Planet Penguin Racer game as an OpenGL benchmark.,Graphics,https://openbenchmarking.org/test/pts/ppracer
320,Prey,This test calculates the average frame-rate within the Prey retail game from 3D Realms,Graphics,https://openbenchmarking.org/test/pts/prey
321,Primesieve,Primesieve generates prime numbers using a highly optimized sieve of Eratosthenes implementation,Processor,https://openbenchmarking.org/test/pts/primesieve
322,Phoronix Test Suite Self Test,This is a wrapper around the phoronix-test-suite debug-self-test sub-command for testing hot Phoronix Test Suite code paths and if wanting to compare different PHP implementations.,System,https://openbenchmarking.org/test/pts/pts-self-test
323,PyBench,This test profile reports the total time of the different average timed test results from PyBench,System,https://openbenchmarking.org/test/pts/pybench
324,PyMongo Inserts,This is a very basic benchmark measuring the time to perform 200000 simple insertions to a MongoDB using PyMongo with Python 3.x.,System,https://openbenchmarking.org/test/pts/pymongo-inserts
325,PyPerformance,PyPerformance is the reference Python performance benchmark suite.,System,https://openbenchmarking.org/test/pts/pyperformance
326,Quantum ESPRESSO,Quantum ESPRESSO is an integrated suite of Open-Source computer codes for electronic-structure calculations and materials modeling at the nanoscale,Processor,https://openbenchmarking.org/test/pts/qe
327,QGears2,This test runs qgears2 which is a test written by Zack Rusin and is based upon cairogears,Graphics,https://openbenchmarking.org/test/pts/qgears2
328,QMCPACK,QMCPACK is a modern high-performance open-source Quantum Monte Carlo (QMC) simulation code making use of MPI for this benchmark of the H20 example code,Processor,https://openbenchmarking.org/test/pts/qmcpack
329,Qmlbench,This test runs various micro-benchmarks of Qt5 QML.,System,https://openbenchmarking.org/test/pts/qmlbench
330,Quake II RTX,Quake II RTX on Steam,Graphics,https://openbenchmarking.org/test/pts/quake2rtx
331,Quake 4,This test calculates the average frame-rate within the Quake 4 game from id Software.,Graphics,https://openbenchmarking.org/test/pts/quake4
332,QuantLib,QuantLib is an open-source library/framework around quantitative finance for modeling trading and risk management scenarios,Processor,https://openbenchmarking.org/test/pts/quantlib
333,Radiance Benchmark,This is a benchmark of NREL Radiance a synthetic imaging system that is open-source and developed by the Lawrence Berkeley National Laboratory in California.,Processor,https://openbenchmarking.org/test/pts/radiance
334,RAMspeed SMP,This benchmark tests the system memory (RAM) performance.,Memory,https://openbenchmarking.org/test/pts/ramspeed
335,rav1e,Xiph rav1e is a Rust-written AV1 video encoder.,Processor,https://openbenchmarking.org/test/pts/rav1e
336,RawTherapee,RawTherapee is a cross-platform open-source multi-threaded RAW image processing program.,System,https://openbenchmarking.org/test/system/rawtherapee
337,rays1bench,This is a test of rays1bench a simple path-tracer / ray-tracing that supports SSE and AVX instructions multi-threading and other features,Processor,https://openbenchmarking.org/test/pts/rays1bench
338,R Benchmark,This test is a quick-running survey of general R performance,Processor,https://openbenchmarking.org/test/pts/rbenchmark
339,Reaction Quake 3,Reaction is an open-source game using the ioquake3 engine.,Graphics,https://openbenchmarking.org/test/pts/reaction
340,RealSR-NCNN,RealSR-NCNN is an NCNN neural network implementation of the RealSR project and accelerated using the Vulkan API,Graphics,https://openbenchmarking.org/test/pts/realsr-ncnn
341,Redis,Redis is an open-source in-memory data structure store used as a database cache and message broker.,System,https://openbenchmarking.org/test/pts/redis
342,Redis,,,https://openbenchmarking.org/test/system/redis
343,Redis,Redis is an open-source data structure server,System,https://openbenchmarking.org/test/windows/redis
344,RedShift Demo,This is a test of MAXON's RedShift demo build that currently requires NVIDIA GPU acceleration.,Graphics,https://openbenchmarking.org/test/pts/redshift
345,RELION,RELION - REgularised LIkelihood OptimisatioN - is a stand-alone computer program for Maximum A Posteriori refinement of (multiple) 3D reconstructions or 2D class averages in cryo-electron microscopy (cryo-EM),Processor,https://openbenchmarking.org/test/pts/relion
346,Renaissance,Renaissance is a suite of benchmarks designed to test the Java JVM from Apache Spark to a Twitter-like service to Scala and other features.,Processor,https://openbenchmarking.org/test/pts/renaissance
347,Rise of the Tomb Raider,Rise of the Tomb Raider on Steam.The test profile assumes you have a Steam account have Steam installed for the system and that you own a copy of this game,Graphics,https://openbenchmarking.org/test/pts/riseofthetombraider
348,RNNoise,RNNoise is a recurrent neural network for audio noise reduction developed by Mozilla and Xiph.Org,Processor,https://openbenchmarking.org/test/pts/rnnoise
349,Facebook RocksDB,This is a benchmark of Facebook's RocksDB as an embeddable persistent key-value store for fast storage based on Google's LevelDB.,System,https://openbenchmarking.org/test/pts/rocksdb
350,Rodinia,Rodinia is a suite from the University of Virginia that is focused upon accelerating compute-intensive applications with accelerators,Processor,https://openbenchmarking.org/test/pts/rodinia
351,librsvg,RSVG/librsvg is an SVG vector graphics library,System,https://openbenchmarking.org/test/system/rsvg
352,Ray Tracing In Vulkan,Ray Tracing In Vulkan is a demo/benchmark of  Vulkan ray-tracing support by Tanguy Fautre that makes use of Vulkan RT extensions (VK_KHR_ray_tracing_pipeline).,Graphics,https://openbenchmarking.org/test/pts/rtiv
353,Rust Mandelbrot,This test profile is of the combined time for the serial and parallel Mandelbrot sets written in Rustlang via willi-kappler/mandel-rust.,Processor,https://openbenchmarking.org/test/pts/rust-mandel
354,Rust Prime Benchmark,Based on petehunt/rust-benchmark this is a prime number benchmark that is multi-threaded and written in Rustlang.,Processor,https://openbenchmarking.org/test/pts/rust-prime
355,Serious Sam Fusion 2017,This is a benchmark of Serious Sam HD Fusion 2017 edition,Graphics,https://openbenchmarking.org/test/pts/sam2017
356,Sample Pass Fail,An example test profile of handling pass/fail type testing rather than performance related.,System,https://openbenchmarking.org/test/pts/sample-pass-fail
357,Sample Pi Program,A simple C++ program that calculates Pi to 87654321 digits using the Leibniz formula,Processor,https://openbenchmarking.org/test/pts/sample-program
358,Schbench,This is a benchmark of Schbench a Linux kernel scheduler benchmark developed by Facebook.,System,https://openbenchmarking.org/test/pts/schbench
359,Scikit-Learn,Scikit-learn is a Python module for machine learning,System,https://openbenchmarking.org/test/pts/scikit-learn
360,SciMark,This test runs the ANSI C version of SciMark 2.0 which is a benchmark for scientific and numerical computing developed by programmers at the National Institute of Standards and Technology,Processor,https://openbenchmarking.org/test/pts/scimark2
361,SecureMark,SecureMark is an objective standardized benchmarking framework for measuring the efficiency of cryptographic processing solutions developed by EEMBC,Processor,https://openbenchmarking.org/test/pts/securemark
362,Selenium,This test profile uses the Selenium WebDriver for running various browser benchmarks in different available web browsers.,System,https://openbenchmarking.org/test/system/selenium
363,Time To Load + View Popular Websites,This test profile uses the Selenium WebDriver for measuring the time it takes to load a majority of the top 50 most popular websites in the web browser in different tabs and to scroll to the bottom of the page keeping previous tabs open.,System,https://openbenchmarking.org/test/system/selenium-top-sites
364,Serial Loopback Test,This test will do a simple write/read test on all detected serial interfaces,System,https://openbenchmarking.org/test/pts/serial-loopback
365,Shadow of the Tomb Raider,Shadow of the Tomb Raider on Steam.The test profile assumes you have a Steam account have Steam installed for the system and that you own a copy of this game,Graphics,https://openbenchmarking.org/test/pts/shadowofthetombraider
366,SHOC Scalable HeterOgeneous Computing,The CUDA and OpenCL version of Vetter's Scalable HeterOgeneous Computing benchmark suite,Graphics,https://openbenchmarking.org/test/pts/shoc
367,simdjson,This is a benchmark of SIMDJSON a high performance JSON parser,Processor,https://openbenchmarking.org/test/pts/simdjson
368,Smallpt,Smallpt is a C++ global illumination renderer written in less than 100 lines of code,Processor,https://openbenchmarking.org/test/pts/smallpt
369,SmallPT GPU,SmallPT GPU is an OpenCL benchmark that's run with various PTS changes compared to upstream and multiple rendering scenes are available.,System,https://openbenchmarking.org/test/pts/smallpt-gpu
370,SMART Disk Self-Report,This test profile will do a pass/fail report on the disk drive's SMART overall-health self-assessment test result.,Disk,https://openbenchmarking.org/test/pts/smart
371,SMHasher,SMHasher is a hash function tester.,Processor,https://openbenchmarking.org/test/pts/smhasher
372,Sockperf,This is a network socket API performance benchmark.,Network,https://openbenchmarking.org/test/pts/sockperf
373,SPEC CPU 2017,This is a benchmark of SPEC CPU 2017,System,https://openbenchmarking.org/test/pts/spec-cpu2017
374,SPECjbb 2015,This is a benchmark of SPECjbb 2015,System,https://openbenchmarking.org/test/pts/spec-jbb2015
375,SPECViewPerf 9,This test runs SPECViewPerf 9.0 which is made up of real-world OpenGL workstation tests such as 3DS Max CATIA Maya Pro/Engineer and SolidWorks.,Graphics,https://openbenchmarking.org/test/pts/specviewperf9
376,SQLite,This is a simple benchmark of SQLite,Disk,https://openbenchmarking.org/test/pts/sqlite
377,SQLite,,,https://openbenchmarking.org/test/system/sqlite
378,SQLite Speedtest,This is a benchmark of SQLite's speedtest1 benchmark program with an increased problem size of 1000.,System,https://openbenchmarking.org/test/pts/sqlite-speedtest
379,srsLTE,srsLTE is an open-source LTE software radio suite created by Software Radio Systems (SRS),Processor,https://openbenchmarking.org/test/pts/srslte
380,srsRAN,srsRAN is an open-source LTE/5G software radio suite created by Software Radio Systems (SRS),Processor,https://openbenchmarking.org/test/pts/srsran
381,Serious Sam 3: BFE,This is a benchmark of Serious Sam 3: BFE with the Fusion 2017 update,Graphics,https://openbenchmarking.org/test/pts/ss3bfe
382,Application Start-up Time,This benchmark measures the start-up time of applications when there is some I/O in the background.,Disk,https://openbenchmarking.org/test/pts/startup-time
383,Stockfish,This is a test of Stockfish an advanced open-source C++11 chess benchmark that can scale up to 512 CPU threads.,Processor,https://openbenchmarking.org/test/pts/stockfish
384,Strange Brigade,This is a benchmark of Strange Brigade running under Steam Play (Proton) on Linux,Graphics,https://openbenchmarking.org/test/pts/strange-brigade
385,Stream,This is a benchmark of Stream the popular system memory (RAM) benchmark.,Memory,https://openbenchmarking.org/test/pts/stream
386,Stream-Dynamic,This is an open-source AMD modified copy of the Stream memory benchmark catered towards running the RAM benchmark on systems with the AMD Optimizing C/C++ Compiler (AOCC) among other by-default optimizations aiming for an easy and standardized deployment,Memory,https://openbenchmarking.org/test/pts/stream-dynamic
387,Stress-NG,Stress-NG is a Linux stress tool developed by Colin King of Canonical.,System,https://openbenchmarking.org/test/pts/stress-ng
388,Stressful Application Test,This is a pass/fail benchmark of stressapptest (Stressful Application Test) for verifying memory/RAM stability of the system.,System,https://openbenchmarking.org/test/pts/stressapptest
389,Sudokut,This is a test of Sudokut which is a Sudoku puzzle solver written in Tcl,Processor,https://openbenchmarking.org/test/pts/sudokut
390,Sunflow Rendering System,This test runs benchmarks of the Sunflow Rendering System,System,https://openbenchmarking.org/test/pts/sunflow
391,SuperTuxKart,This is a test of SuperTuxKart which is an open-source racing game,Graphics,https://openbenchmarking.org/test/pts/supertuxkart
392,SVT-AV1,This is a test of the Intel Open Visual Cloud Scalable Video Technology SVT-AV1 CPU-based multi-threaded video encoder for the AV1 video format with a sample 1080p YUV video file.,Processor,https://openbenchmarking.org/test/pts/svt-av1
393,SVT-HEVC,This is a test of the Intel Open Visual Cloud Scalable Video Technology SVT-HEVC CPU-based multi-threaded video encoder for the HEVC / H.265 video format with a sample 1080p YUV video file.,Processor,https://openbenchmarking.org/test/pts/svt-hevc
394,SVT-VP9,This is a test of the Intel Open Visual Cloud Scalable Video Technology SVT-VP9 CPU-based multi-threaded video encoder for the VP9 video format with a sample YUV input video file.,Processor,https://openbenchmarking.org/test/pts/svt-vp9
395,Swet,Swet is a synthetic CPU/RAM benchmark includes multi-processor test cases.,Processor,https://openbenchmarking.org/test/pts/swet
396,Google SynthMark,SynthMark is a cross platform tool for benchmarking CPU performance under a variety of real-time audio workloads,Processor,https://openbenchmarking.org/test/pts/synthmark
397,Sysbench,This is a benchmark of Sysbench with the built-in CPU and memory sub-tests,System,https://openbenchmarking.org/test/pts/sysbench
