id,Model name,Name,Producer,,Codename,cores,min_cores,max_cores,core,raw_clock,mid_clock_inter,val_mid,unit_mid,min_clock,max_clock_inter,max_clock,unit_clock_to,mid_final,unit_final,clock,Socket,Process (nm),L3 Cache,TDP (W),Released,rel_date,rel_year
640,AMD Phenom II X2 B53,Phenom II X2 B53,AMD,,Callisto,2,,,2,"2,8 GHz","2,8 GHz","2,8",GHz,,,,,"2,8",GHz,"2,8",Socket AM3,45,6MB,80,"Oct 1st, 2009",Oct 1st,2009
641,AMD Phenom II X2 B55,Phenom II X2 B55,AMD,,Callisto,2,,,2,3 GHz,3 GHz,3,GHz,,,,,3,GHz,3,Socket AM3,45,6MB,80,"Oct 1st, 2009",Oct 1st,2009
642,AMD Phenom II X2 B57,Phenom II X2 B57,AMD,,Callisto,2,,,2,"3,2 GHz","3,2 GHz","3,2",GHz,,,,,"3,2",GHz,"3,2",Socket AM3,45,6MB,80,"May 11th, 2010",May 11th,2010
643,AMD Phenom II X3 700e,Phenom II X3 700e,AMD,,Heka,3,,,3,"2,4 GHz","2,4 GHz","2,4",GHz,,,,,"2,4",GHz,"2,4",Socket AM3,45,6MB,65,"Jun 2nd, 2009",Jun 2nd,2009
644,AMD Phenom II X3 705e,Phenom II X3 705e,AMD,,Heka,3,,,3,"2,5 GHz","2,5 GHz","2,5",GHz,,,,,"2,5",GHz,"2,5",Socket AM3,45,6MB,65,"Jun 2nd, 2009",Jun 2nd,2009
645,AMD Phenom II X3 710,Phenom II X3 710,AMD,,Heka,3,,,3,"2,6 GHz","2,6 GHz","2,6",GHz,,,,,"2,6",GHz,"2,6",Socket AM3,45,6MB,95,"Feb 9th, 2009",Feb 9th,2009
646,AMD Phenom II X3 715 BE,Phenom II X3 715 BE,AMD,,Heka,3,,,3,"2,8 GHz","2,8 GHz","2,8",GHz,,,,,"2,8",GHz,"2,8",Socket AM2+,45,6MB,95,"Oct 1st, 2010",Oct 1st,2010
647,AMD Phenom II X3 720,Phenom II X3 720,AMD,,Heka,3,,,3,"2,8 GHz","2,8 GHz","2,8",GHz,,,,,"2,8",GHz,"2,8",Socket AM3,45,6MB,95,"Jan 1st, 2010",Jan 1st,2010
648,AMD Phenom II X3 720 BE,Phenom II X3 720 BE,AMD,,Heka,3,,,3,"2,8 GHz","2,8 GHz","2,8",GHz,,,,,"2,8",GHz,"2,8",Socket AM3,45,6MB,95,"Feb 9th, 2009",Feb 9th,2009
649,AMD Phenom II X3 740 BE,Phenom II X3 740 BE,AMD,,Heka,3,,,3,3 GHz,3 GHz,3,GHz,,,,,3,GHz,3,Socket AM3,45,6MB,95,"Sep 1st, 2009",Sep 1st,2009
650,AMD Phenom II X3 B73,Phenom II X3 B73,AMD,,Heka,3,,,3,"2,8 GHz","2,8 GHz","2,8",GHz,,,,,"2,8",GHz,"2,8",Socket AM3,45,6MB,95,"Oct 1st, 2009",Oct 1st,2009
651,AMD Phenom II X3 B75,Phenom II X3 B75,AMD,,Heka,3,,,3,3 GHz,3 GHz,3,GHz,,,,,3,GHz,3,Socket AM3,45,6MB,95,"Oct 1st, 2009",Oct 1st,2009
652,AMD Phenom II X3 B77,Phenom II X3 B77,AMD,,Heka,3,,,3,"3,2 GHz","3,2 GHz","3,2",GHz,,,,,"3,2",GHz,"3,2",Socket AM3,45,6MB,95,"May 11th, 2010",May 11th,2010
653,AMD Phenom II X4 650T,Phenom II X4 650T,AMD,,Zosma,4,,,4,"2,7 to 3,2 GHz",,,,"2,7"," 3,2 GHz","3,20",GHz,"2,95",GHz,"2,95",Socket AM3,45,4MB,95,"Jul 1st, 2011",Jul 1st,2011
654,AMD Phenom II X4 805,Phenom II X4 805,AMD,,Deneb,4,,,4,"2,5 GHz","2,5 GHz","2,5",GHz,,,,,"2,5",GHz,"2,5",Socket AM3,45,4MB,95,"Feb 9th, 2009",Feb 9th,2009
655,AMD Phenom II X4 810,Phenom II X4 810,AMD,,Deneb,4,,,4,"2,6 GHz","2,6 GHz","2,6",GHz,,,,,"2,6",GHz,"2,6",Socket AM3,45,4MB,95,"Feb 9th, 2009",Feb 9th,2009
656,AMD Phenom II X4 820,Phenom II X4 820,AMD,,Deneb,4,,,4,"2,8 GHz","2,8 GHz","2,8",GHz,,,,,"2,8",GHz,"2,8",Socket AM3,45,4MB,95,"Sep 1st, 2009",Sep 1st,2009
657,AMD Phenom II X4 830,Phenom II X4 830,AMD,,Deneb,4,,,4,"2,8 GHz","2,8 GHz","2,8",GHz,,,,,"2,8",GHz,"2,8",Socket AM3,45,4MB,95,"Sep 1st, 2009",Sep 1st,2009
658,AMD Phenom II X4 840,Phenom II X4 840,AMD,,Propus,4,,,4,"3,2 GHz","3,2 GHz","3,2",GHz,,,,,"3,2",GHz,"3,2",Socket AM3,45,N/A,95,"Jan 4th, 2011",Jan 4th,2011
659,AMD Phenom II X4 840T,Phenom II X4 840T,AMD,,Zosma,4,,,4,"2,9 to 3,2 GHz",,,,"2,9"," 3,2 GHz","3,20",GHz,"3,05",GHz,"3,05",Socket AM3,45,6MB,95,"Sep 1st, 2010",Sep 1st,2010
660,AMD Phenom II X4 850,Phenom II X4 850,AMD,,Propus,4,,,4,"3,3 GHz","3,3 GHz","3,3",GHz,,,,,"3,3",GHz,"3,3",Socket AM3,45,N/A,95,"Jun 1st, 2011",Jun 1st,2011
661,AMD Phenom II X4 900e,Phenom II X4 900e,AMD,,Deneb,4,,,4,"2,4 GHz","2,4 GHz","2,4",GHz,,,,,"2,4",GHz,"2,4",Socket AM3,45,6MB,65,"Jun 2nd, 2009",Jun 2nd,2009
662,AMD Phenom II X4 905e,Phenom II X4 905e,AMD,,Deneb,4,,,4,"2,5 GHz","2,5 GHz","2,5",GHz,,,,,"2,5",GHz,"2,5",Socket AM3,45,6MB,65,"Jun 2nd, 2009",Jun 2nd,2009
663,AMD Phenom II X4 910,Phenom II X4 910,AMD,,Deneb,4,,,4,"2,6 GHz","2,6 GHz","2,6",GHz,,,,,"2,6",GHz,"2,6",Socket AM3,45,6MB,95,"Feb 9th, 2009",Feb 9th,2009
664,AMD Phenom II X4 910e,Phenom II X4 910e,AMD,,Deneb,4,,,4,"2,6 GHz","2,6 GHz","2,6",GHz,,,,,"2,6",GHz,"2,6",Socket AM3,45,6MB,65,"Jan 25th, 2010",Jan 25th,2010
665,AMD Phenom II X4 920,Phenom II X4 920,AMD,,Deneb,4,,,4,"2,8 GHz","2,8 GHz","2,8",GHz,,,,,"2,8",GHz,"2,8",Socket AM3,45,6MB,125,"Jan 8th, 2009",Jan 8th,2009
666,AMD Phenom II X4 925,Phenom II X4 925,AMD,,Deneb,4,,,4,"2,8 GHz","2,8 GHz","2,8",GHz,,,,,"2,8",GHz,"2,8",Socket AM3,45,6MB,95,"May 11th, 2009",May 11th,2009
667,AMD Phenom II X4 940 BE,Phenom II X4 940 BE,AMD,,Deneb,4,,,4,3 GHz,3 GHz,3,GHz,,,,,3,GHz,3,Socket AM3,45,6MB,125,"Jan 8th, 2009",Jan 8th,2009
668,AMD Phenom II X4 945 (125W),Phenom II X4 945 (125W),AMD,,Deneb,4,,,4,3 GHz,3 GHz,3,GHz,,,,,3,GHz,3,Socket AM3,45,6MB,125,"Apr 23rd, 2009",Apr 23rd,2009
669,AMD Phenom II X4 945 (95W),Phenom II X4 945 (95W),AMD,,Deneb,4,,,4,3 GHz,3 GHz,3,GHz,,,,,3,GHz,3,Socket AM3,45,6MB,95,"Jul 22nd, 2009",Jul 22nd,2009
670,AMD Phenom II X4 955 (125W),Phenom II X4 955 (125W),AMD,,Deneb,4,,,4,"3,2 GHz","3,2 GHz","3,2",GHz,,,,,"3,2",GHz,"3,2",Socket AM3,45,6MB,125,"Apr 1st, 2009",Apr 1st,2009
671,AMD Phenom II X4 955 (95W),Phenom II X4 955 (95W),AMD,,Deneb,4,,,4,"3,2 GHz","3,2 GHz","3,2",GHz,,,,,"3,2",GHz,"3,2",Socket AM3,45,6MB,95,"Apr 1st, 2009",Apr 1st,2009
672,AMD Phenom II X4 955 BE,Phenom II X4 955 BE,AMD,,Deneb,4,,,4,"3,2 GHz","3,2 GHz","3,2",GHz,,,,,"3,2",GHz,"3,2",Socket AM3,45,6MB,125,"Apr 23rd, 2009",Apr 23rd,2009
673,AMD Phenom II X4 960T BE,Phenom II X4 960T BE,AMD,,Zosma,4,,,4,"3 to 3,4 GHz",,,,3," 3,4 GHz","3,40",GHz,"3,2",GHz,"3,2",Socket AM3,45,6MB,95,"Jun 1st, 2010",Jun 1st,2010
674,AMD Phenom II X4 965 BE (125W),Phenom II X4 965 BE (125W),AMD,,Deneb,4,,,4,"3,4 GHz","3,4 GHz","3,4",GHz,,,,,"3,4",GHz,"3,4",Socket AM3,45,6MB,125,"Nov 7th, 2009",Nov 7th,2009
675,AMD Phenom II X4 965 BE (140W),Phenom II X4 965 BE (140W),AMD,,Deneb,4,,,4,"3,4 GHz","3,4 GHz","3,4",GHz,,,,,"3,4",GHz,"3,4",Socket AM3,45,6MB,140,"Aug 13th, 2009",Aug 13th,2009
676,AMD Phenom II X4 970 BE,Phenom II X4 970 BE,AMD,,Zosma,4,,,4,"3,5 GHz","3,5 GHz","3,5",GHz,,,,,"3,5",GHz,"3,5",Socket AM3,45,6MB,125,"Oct 1st, 2010",Oct 1st,2010
677,AMD Phenom II X4 970 BE,Phenom II X4 970 BE,AMD,,Deneb,4,,,4,"3,5 GHz","3,5 GHz","3,5",GHz,,,,,"3,5",GHz,"3,5",Socket AM3,45,6MB,125,"Sep 21st, 2010",Sep 21st,2010
678,AMD Phenom II X4 975 BE,Phenom II X4 975 BE,AMD,,Deneb,4,,,4,"3,6 GHz","3,6 GHz","3,6",GHz,,,,,"3,6",GHz,"3,6",Socket AM3,45,6MB,125,"Jan 4th, 2011",Jan 4th,2011
679,AMD Phenom II X4 980 BE,Phenom II X4 980 BE,AMD,,Deneb,4,,,4,"3,7 GHz","3,7 GHz","3,7",GHz,,,,,"3,7",GHz,"3,7",Socket AM3,45,6MB,125,"May 3rd, 2011",May 3rd,2011
680,AMD Phenom II X4 B93,Phenom II X4 B93,AMD,,Deneb,4,,,4,"2,8 GHz","2,8 GHz","2,8",GHz,,,,,"2,8",GHz,"2,8",Socket AM3,45,6MB,95,"Oct 1st, 2009",Oct 1st,2009
681,AMD Phenom II X4 B95,Phenom II X4 B95,AMD,,Deneb,4,,,4,3 GHz,3 GHz,3,GHz,,,,,3,GHz,3,Socket AM3,45,6MB,95,"Oct 1st, 2009",Oct 1st,2009
682,AMD Phenom II X4 B97,Phenom II X4 B97,AMD,,Deneb,4,,,4,"3,2 GHz","3,2 GHz","3,2",GHz,,,,,"3,2",GHz,"3,2",Socket AM3,45,6MB,95,"May 11th, 2010",May 11th,2010
683,AMD Phenom II X6 1035T,Phenom II X6 1035T,AMD,,Thuban,6,,,6,"2,6 to 3,1 GHz",,,,"2,6"," 3,1 GHz","3,10",GHz,"2,85",GHz,"2,85",Socket AM3,45,6MB,95,"Apr 27th, 2010",Apr 27th,2010
684,AMD Phenom II X6 1045T,Phenom II X6 1045T,AMD,,Thuban,6,,,6,"2,7 to 3,2 GHz",,,,"2,7"," 3,2 GHz","3,20",GHz,"2,95",GHz,"2,95",Socket AM3,45,6MB,95,"Sep 1st, 2010",Sep 1st,2010
685,AMD Phenom II X6 1055T (125W),Phenom II X6 1055T (125W),AMD,,Thuban,6,,,6,"2,8 to 3,3 GHz",,,,"2,8"," 3,3 GHz","3,30",GHz,"3,05",GHz,"3,05",Socket AM3,45,6MB,125,"Apr 27th, 2010",Apr 27th,2010
686,AMD Phenom II X6 1055T (95W),Phenom II X6 1055T (95W),AMD,,Thuban,6,,,6,"2,8 to 3,3 GHz",,,,"2,8"," 3,3 GHz","3,30",GHz,"3,05",GHz,"3,05",Socket AM3,45,6MB,95,"May 1st, 2010",May 1st,2010
687,AMD Phenom II X6 1065T,Phenom II X6 1065T,AMD,,Thuban,6,,,6,"2,9 to 3,4 GHz",,,,"2,9"," 3,4 GHz","3,40",GHz,"3,15",GHz,"3,15",Socket AM3,45,6MB,125,"Dec 7th, 2010",Dec 7th,2010
688,AMD Phenom II X6 1075T,Phenom II X6 1075T,AMD,,Thuban,6,,,6,"3 to 3,5 GHz",,,,3," 3,5 GHz","3,50",GHz,"3,25",GHz,"3,25",Socket AM3,45,6MB,125,"Sep 21st, 2010",Sep 21st,2010
689,AMD Phenom II X6 1090T BE,Phenom II X6 1090T BE,AMD,,Thuban,6,,,6,"3,2 to 3,6 GHz",,,,"3,2"," 3,6 GHz","3,60",GHz,"3,4",GHz,"3,4",Socket AM3,45,6MB,125,"Apr 27th, 2010",Apr 27th,2010
690,AMD Phenom II X6 1100T BE,Phenom II X6 1100T BE,AMD,,Thuban,6,,,6,"3,3 to 3,7 GHz",,,,"3,3"," 3,7 GHz","3,70",GHz,"3,5",GHz,"3,5",Socket AM3,45,6MB,125,"Dec 7th, 2010",Dec 7th,2010
691,AMD Phenom X3 8250e,Phenom X3 8250e,AMD,,Toliman,3,,,3,1900 MHz,1900 MHz,1900,MHz,,,,,1900,MHz,"1,9",Socket AM2+,65,2MB,65,"Sep 8th, 2008",Sep 8th,2008
692,AMD Phenom X3 8400,Phenom X3 8400,AMD,,Toliman,3,,,3,"2,1 GHz","2,1 GHz","2,1",GHz,,,,,"2,1",GHz,"2,1",Socket AM2+,65,2MB,95,"Mar 27th, 2008",Mar 27th,2008
693,AMD Phenom X3 8450,Phenom X3 8450,AMD,,Toliman,3,,,3,"2,1 GHz","2,1 GHz","2,1",GHz,,,,,"2,1",GHz,"2,1",Socket AM2+,65,2MB,95,"Apr 23rd, 2008",Apr 23rd,2008
694,AMD Phenom X3 8450e,Phenom X3 8450e,AMD,,Toliman,3,,,3,"2,1 GHz","2,1 GHz","2,1",GHz,,,,,"2,1",GHz,"2,1",Socket AM2+,65,2MB,65,"Sep 8th, 2008",Sep 8th,2008
695,AMD Phenom X3 8550,Phenom X3 8550,AMD,,Toliman,3,,,3,"2,2 GHz","2,2 GHz","2,2",GHz,,,,,"2,2",GHz,"2,2",Socket AM2+,65,2MB,95,"Apr 23rd, 2008",Apr 23rd,2008
696,AMD Phenom X3 8600,Phenom X3 8600,AMD,,Toliman,3,,,3,"2,3 GHz","2,3 GHz","2,3",GHz,,,,,"2,3",GHz,"2,3",Socket AM2+,65,2MB,95,"Mar 27th, 2008",Mar 27th,2008
697,AMD Phenom X3 8650,Phenom X3 8650,AMD,,Toliman,3,,,3,"2,3 GHz","2,3 GHz","2,3",GHz,,,,,"2,3",GHz,"2,3",Socket AM2+,65,2MB,95,"Apr 23rd, 2008",Apr 23rd,2008
698,AMD Phenom X3 8750,Phenom X3 8750,AMD,,Toliman,3,,,3,"2,4 GHz","2,4 GHz","2,4",GHz,,,,,"2,4",GHz,"2,4",Socket AM2+,65,2MB,95,"Apr 23rd, 2008",Apr 23rd,2008
699,AMD Phenom X3 8750 BE,Phenom X3 8750 BE,AMD,,Toliman,3,,,3,"2,4 GHz","2,4 GHz","2,4",GHz,,,,,"2,4",GHz,"2,4",Socket AM2+,65,2MB,95,"Sep 8th, 2008",Sep 8th,2008
700,AMD Phenom X3 8850,Phenom X3 8850,AMD,,Toliman,3,,,3,"2,5 GHz","2,5 GHz","2,5",GHz,,,,,"2,5",GHz,"2,5",Socket AM2+,65,2MB,95,"Oct 21st, 2008",Oct 21st,2008
701,AMD Phenom X4 9100e,Phenom X4 9100e,AMD,,Agena,4,,,4,1800 MHz,1800 MHz,1800,MHz,,,,,1800,MHz,"1,8",Socket AM2+,65,2MB,65,"Mar 27th, 2008",Mar 27th,2008
702,AMD Phenom X4 9150e,Phenom X4 9150e,AMD,,Agena,4,,,4,1800 MHz,1800 MHz,1800,MHz,,,,,1800,MHz,"1,8",Socket AM2+,65,2MB,65,"Jul 1st, 2008",Jul 1st,2008
703,AMD Phenom X4 9350e,Phenom X4 9350e,AMD,,Agena,4,,,4,2000 MHz,2000 MHz,2000,MHz,,,,,2000,MHz,2,Socket AM2+,65,2MB,65,"Jul 1st, 2008",Jul 1st,2008
704,AMD Phenom X4 9450e,Phenom X4 9450e,AMD,,Agena,4,,,4,"2,1 GHz","2,1 GHz","2,1",GHz,,,,,"2,1",GHz,"2,1",Socket AM2+,65,2MB,65,"Oct 1st, 2008",Oct 1st,2008
705,AMD Phenom X4 9500,Phenom X4 9500,AMD,,Agena,4,,,4,"2,2 GHz","2,2 GHz","2,2",GHz,,,,,"2,2",GHz,"2,2",Socket AM2+,65,2MB,95,"Nov 19th, 2007",Nov 19th,2007
706,AMD Phenom X4 9550,Phenom X4 9550,AMD,,Agena,4,,,4,"2,2 GHz","2,2 GHz","2,2",GHz,,,,,"2,2",GHz,"2,2",Socket AM2+,65,2MB,95,"Mar 27th, 2008",Mar 27th,2008
707,AMD Phenom X4 9600,Phenom X4 9600,AMD,,Agena,4,,,4,"2,3 GHz","2,3 GHz","2,3",GHz,,,,,"2,3",GHz,"2,3",Socket AM2+,65,2MB,95,"Nov 19th, 2007",Nov 19th,2007
708,AMD Phenom X4 9600 BE,Phenom X4 9600 BE,AMD,,Agena,4,,,4,"2,3 GHz","2,3 GHz","2,3",GHz,,,,,"2,3",GHz,"2,3",Socket AM2+,65,2MB,95,"Dec 19th, 2007",Dec 19th,2007
709,AMD Phenom X4 9600B,Phenom X4 9600B,AMD,,Agena,4,,,4,"2,3 GHz","2,3 GHz","2,3",GHz,,,,,"2,3",GHz,"2,3",Socket AM2+,65,2MB,95,"Apr 28th, 2008",Apr 28th,2008
710,AMD Phenom X4 9650,Phenom X4 9650,AMD,,Agena,4,,,4,"2,3 GHz","2,3 GHz","2,3",GHz,,,,,"2,3",GHz,"2,3",Socket AM2+,65,2MB,95,"Mar 27th, 2008",Mar 27th,2008
711,AMD Phenom X4 9750 (125W),Phenom X4 9750 (125W),AMD,,Agena,4,,,4,"2,4 GHz","2,4 GHz","2,4",GHz,,,,,"2,4",GHz,"2,4",Socket AM2+,65,2MB,125,"Mar 27th, 2008",Mar 27th,2008
712,AMD Phenom X4 9750 (95W),Phenom X4 9750 (95W),AMD,,Agena,4,,,4,"2,4 GHz","2,4 GHz","2,4",GHz,,,,,"2,4",GHz,"2,4",Socket AM2+,65,2MB,95,"Mar 27th, 2008",Mar 27th,2008
713,AMD Phenom X4 9750B,Phenom X4 9750B,AMD,,Agena,4,,,4,"2,4 GHz","2,4 GHz","2,4",GHz,,,,,"2,4",GHz,"2,4",Socket AM2+,65,2MB,95,"Aug 15th, 2008",Aug 15th,2008
714,AMD Phenom X4 9850 (125W),Phenom X4 9850 (125W),AMD,,Agena,4,,,4,"2,5 GHz","2,5 GHz","2,5",GHz,,,,,"2,5",GHz,"2,5",Socket AM2+,65,2MB,125,"Jul 1st, 2008",Jul 1st,2008
715,AMD Phenom X4 9850 (95W),Phenom X4 9850 (95W),AMD,,Agena,4,,,4,"2,5 GHz","2,5 GHz","2,5",GHz,,,,,"2,5",GHz,"2,5",Socket AM2+,65,2MB,95,"Oct 1st, 2008",Oct 1st,2008
716,AMD Phenom X4 9850 BE,Phenom X4 9850 BE,AMD,,Agena,4,,,4,"2,5 GHz","2,5 GHz","2,5",GHz,,,,,"2,5",GHz,"2,5",Socket AM2+,65,2MB,125,"Mar 27th, 2008",Mar 27th,2008
717,AMD Phenom X4 9850B,Phenom X4 9850B,AMD,,Agena,4,,,4,"2,5 GHz","2,5 GHz","2,5",GHz,,,,,"2,5",GHz,"2,5",Socket AM2+,65,2MB,95,"Aug 15th, 2008",Aug 15th,2008
718,AMD Phenom X4 9950 BE (125W),Phenom X4 9950 BE (125W),AMD,,Agena,4,,,4,"2,6 GHz","2,6 GHz","2,6",GHz,,,,,"2,6",GHz,"2,6",Socket AM2+,65,2MB,125,"Oct 1st, 2008",Oct 1st,2008
719,AMD Phenom X4 9950 BE (140W),Phenom X4 9950 BE (140W),AMD,,Agena,4,,,4,"2,6 GHz","2,6 GHz","2,6",GHz,,,,,"2,6",GHz,"2,6",Socket AM2+,65,2MB,140,"Mar 27th, 2008",Mar 27th,2008
720,AMD Ryzen 3 1200,Ryzen 3 1200,AMD,,Zen,4,,,4,"3,1 to 3,4 GHz",,,,"3,1"," 3,4 GHz","3,40",GHz,"3,25",GHz,"3,25",Socket AM4,14,8MB,65,"Jul 27th, 2017",Jul 27th,2017
721,AMD Ryzen 3 1300,Ryzen 3 1300,AMD,,Zen,4,,,4,"3,2 to 3,5 GHz",,,,"3,2"," 3,5 GHz","3,50",GHz,"3,35",GHz,"3,35",Socket AM4,14,8MB,65,"Apr 11th, 2017",Apr 11th,2017
722,AMD Ryzen 3 1300X,Ryzen 3 1300X,AMD,,Zen,4,,,4,"3,4 to 3,7 GHz",,,,"3,4"," 3,7 GHz","3,70",GHz,"3,55",GHz,"3,55",Socket AM4,14,8MB,65,"Jul 27th, 2017",Jul 27th,2017
723,AMD Ryzen 3 2200G,Ryzen 3 2200G,AMD,,Raven Ridge,4,,,4,"3,5 to 3,7 GHz",,,,"3,5"," 3,7 GHz","3,70",GHz,"3,6",GHz,"3,6",Socket AM4,14,4MB,65,"Feb 12th, 2018",Feb 12th,2018
724,AMD Ryzen 3 2200U,Ryzen 3 2200U,AMD,,Raven Ridge,2 / 4,2,4,3,"2,5 to 3,4 GHz",,,,"2,5"," 3,4 GHz","3,40",GHz,"2,95",GHz,"2,95",Socket FP5,14,4MB,15,"Jan 8th, 2018",Jan 8th,2018
725,AMD Ryzen 3 2300U,Ryzen 3 2300U,AMD,,Raven Ridge,4,,,4,"2 to 3,4 GHz",,,,2," 3,4 GHz","3,40",GHz,"2,7",GHz,"2,7",Socket FP5,14,4MB,15,"Jan 8th, 2018",Jan 8th,2018
726,AMD Ryzen 3 2300X,Ryzen 3 2300X,AMD,,Zen,4,,,4,"3,5 to 4,2 GHz",,,,"3,5"," 4,2 GHz","4,20",GHz,"3,85",GHz,"3,85",Socket AM4,14,4MB,65,"Aug 1st, 2018",Aug 1st,2018
727,AMD Ryzen 3 3100,Ryzen 3 3100,AMD,,Matisse,4 / 8,4,8,6,"3,6 to 3,9 GHz",,,,"3,6"," 3,9 GHz","3,90",GHz,"3,75",GHz,"3,75",Socket AM4,7,16MB,65,"Apr 24th, 2020",Apr 24th,2020
728,AMD Ryzen 3 3200G,Ryzen 3 3200G,AMD,,Picasso,4,,,4,"3,6 to 4 GHz",,,,"3,6", 4 GHz,"4,00",GHz,"3,8",GHz,"3,8",Socket AM4,12,4MB,65,"Jul 7th, 2019",Jul 7th,2019
729,AMD Ryzen 3 3200U,Ryzen 3 3200U,AMD,,Picasso,2 / 4,2,4,3,"2,6 to 3,5 GHz",,,,"2,6"," 3,5 GHz","3,50",GHz,"3,05",GHz,"3,05",Socket FP5,12,4MB,15,"Jan 6th, 2019",Jan 6th,2019
730,AMD Ryzen 3 3250U,Ryzen 3 3250U,AMD,,Picasso,2 / 4,2,4,3,"2,6 to 3,5 GHz",,,,"2,6"," 3,5 GHz","3,50",GHz,"3,05",GHz,"3,05",Socket FP5,12,4MB,15,"Jan 6th, 2020",Jan 6th,2020
731,AMD Ryzen 3 3300U,Ryzen 3 3300U,AMD,,Picasso,4,,,4,"2,1 to 3,5 GHz",,,,"2,1"," 3,5 GHz","3,50",GHz,"2,8",GHz,"2,8",Socket FP5,12,4MB,15,"Jan 6th, 2019",Jan 6th,2019
732,AMD Ryzen 3 3300X,Ryzen 3 3300X,AMD,,Matisse,4 / 8,4,8,6,"3,8 to 4,3 GHz",,,,"3,8"," 4,3 GHz","4,30",GHz,"4,05",GHz,"4,05",Socket AM4,7,16MB,65,"Apr 24th, 2020",Apr 24th,2020
733,AMD Ryzen 3 4300G,Ryzen 3 4300G,AMD,,Renoir,4 / 8,4,8,6,"3,8 to 4 GHz",,,,"3,8", 4 GHz,"4,00",GHz,"3,9",GHz,"3,9",Socket AM4,7,4MB,65,"Jul 21st, 2020",Jul 21st,2020
734,AMD Ryzen 3 4300GE,Ryzen 3 4300GE,AMD,,Renoir,4 / 8,4,8,6,"3,5 to 4 GHz",,,,"3,5", 4 GHz,"4,00",GHz,"3,75",GHz,"3,75",Socket AM4,7,4MB,35,"Jul 21st, 2020",Jul 21st,2020
735,AMD Ryzen 3 4300U,Ryzen 3 4300U,AMD,,Renoir,4,,,4,"2,7 to 3,7 GHz",,,,"2,7"," 3,7 GHz","3,70",GHz,"3,2",GHz,"3,2",Socket FP6,7,4MB,25,"Jan 6th, 2020",Jan 6th,2020
736,AMD Ryzen 3 5300G,Ryzen 3 5300G,AMD,,Cezanne,4 / 8,4,8,6,"4 to 4,2 GHz",,,,4," 4,2 GHz","4,20",GHz,"4,1",GHz,"4,1",Socket AM4,7,8MB,65,"Apr 13th, 2021",Apr 13th,2021
737,AMD Ryzen 3 PRO 1200,Ryzen 3 PRO 1200,AMD,,Zen,4,,,4,"3,1 to 3,4 GHz",,,,"3,1"," 3,4 GHz","3,40",GHz,"3,25",GHz,"3,25",Socket AM4,14,8MB,65,"Jun 29th, 2017",Jun 29th,2017
738,AMD Ryzen 3 PRO 1300,Ryzen 3 PRO 1300,AMD,,Zen,4,,,4,"3,2 to 3,5 GHz",,,,"3,2"," 3,5 GHz","3,50",GHz,"3,35",GHz,"3,35",Socket AM4,14,8MB,65,"Jun 29th, 2017",Jun 29th,2017
739,AMD Ryzen 3 PRO 2300U,Ryzen 3 PRO 2300U,AMD,,Raven Ridge,4,,,4,"2 to 3,4 GHz",,,,2," 3,4 GHz","3,40",GHz,"2,7",GHz,"2,7",Socket FP5,14,4MB,15,"Jan 8th, 2019",Jan 8th,2019
740,AMD Ryzen 3 PRO 3300U,Ryzen 3 PRO 3300U,AMD,,Picasso,4,,,4,"2,1 to 3,5 GHz",,,,"2,1"," 3,5 GHz","3,50",GHz,"2,8",GHz,"2,8",Socket FP5,12,4MB,15,"Apr 8th, 2019",Apr 8th,2019
741,AMD Ryzen 3 PRO 4350G,Ryzen 3 PRO 4350G,AMD,,Renoir,4 / 8,4,8,6,"3,8 to 4 GHz",,,,"3,8", 4 GHz,"4,00",GHz,"3,9",GHz,"3,9",Socket AM4,7,4MB,65,"Jul 21st, 2020",Jul 21st,2020
742,AMD Ryzen 3 PRO 4350GE,Ryzen 3 PRO 4350GE,AMD,,Renoir,4 / 8,4,8,6,"3,5 to 4 GHz",,,,"3,5", 4 GHz,"4,00",GHz,"3,75",GHz,"3,75",Socket AM4,7,4MB,35,"Jul 21st, 2020",Jul 21st,2020
743,AMD Ryzen 3 PRO 4450U,Ryzen 3 PRO 4450U,AMD,,Renoir,4 / 8,4,8,6,"2,4 to 3,7 GHz",,,,"2,4"," 3,7 GHz","3,70",GHz,"3,05",GHz,"3,05",Socket FP6,7,4MB,15,"May 7th, 2020",May 7th,2020
744,AMD Ryzen 5 1400,Ryzen 5 1400,AMD,,Zen,4 / 8,4,8,6,"3,2 to 3,4 GHz",,,,"3,2"," 3,4 GHz","3,40",GHz,"3,3",GHz,"3,3",Socket AM4,14,8MB,65,"Apr 11th, 2017",Apr 11th,2017
745,AMD Ryzen 5 1500X,Ryzen 5 1500X,AMD,,Zen,4 / 8,4,8,6,"3,5 to 3,7 GHz",,,,"3,5"," 3,7 GHz","3,70",GHz,"3,6",GHz,"3,6",Socket AM4,14,16MB,65,"Apr 11th, 2017",Apr 11th,2017
746,AMD Ryzen 5 1600,Ryzen 5 1600,AMD,,Zen,6 / 12,6,12,9,"3,2 to 3,6 GHz",,,,"3,2"," 3,6 GHz","3,60",GHz,"3,4",GHz,"3,4",Socket AM4,14,16MB,65,"Apr 11th, 2017",Apr 11th,2017
